2020-03-10 |South Dakota| 46 5 1
2020-03-11 |South Dakota| 46 8 1
2020-03-12 |South Dakota| 46 8 1
2020-03-13 |South Dakota| 46 9 1
2020-03-14 |South Dakota| 46 9 1
2020-03-15 |South Dakota| 46 9 1
2020-03-16 |South Dakota| 46 10 1
2020-03-17 |South Dakota| 46 11 1
2020-03-18 |South Dakota| 46 11 1
2020-03-19 |South Dakota| 46 14 1
2020-03-20 |South Dakota| 46 14 1
2020-03-21 |South Dakota| 46 14 1
2020-03-22 |South Dakota| 46 21 1
2020-03-23 |South Dakota| 46 28 1
2020-03-24 |South Dakota| 46 30 1
2020-03-25 |South Dakota| 46 41 1
2020-03-26 |South Dakota| 46 46 1
2020-03-27 |South Dakota| 46 58 1
2020-03-28 |South Dakota| 46 68 1
2020-03-29 |South Dakota| 46 90 1
2020-03-30 |South Dakota| 46 100 1
2020-03-31 |South Dakota| 46 107 1
2020-04-01 |South Dakota| 46 129 1
2020-04-02 |South Dakota| 46 165 2
2020-04-03 |South Dakota| 46 187 2
2020-04-04 |South Dakota| 46 212 2
2020-04-05 |South Dakota| 46 240 2
2020-04-06 |South Dakota| 46 288 4
2020-04-07 |South Dakota| 46 320 6
2020-04-08 |South Dakota| 46 393 6
2020-04-09 |South Dakota| 46 447 6
2020-04-10 |South Dakota| 46 536 6
2020-04-11 |South Dakota| 46 626 6
2020-04-12 |South Dakota| 46 729 6
2020-04-13 |South Dakota| 46 867 6
2020-04-14 |South Dakota| 46 987 6
2020-04-15 |South Dakota| 46 1168 6
2020-04-16 |South Dakota| 46 1311 7
2020-04-17 |South Dakota| 46 1411 7
2020-04-18 |South Dakota| 46 1541 7
2020-04-19 |South Dakota| 46 1635 7
2020-04-20 |South Dakota| 46 1685 7
2020-04-21 |South Dakota| 46 1755 8
2020-04-22 |South Dakota| 46 1858 9
2020-04-23 |South Dakota| 46 1956 9
2020-04-24 |South Dakota| 46 2040 10
2020-04-25 |South Dakota| 46 2147 10
2020-04-26 |South Dakota| 46 2213 11
2020-04-27 |South Dakota| 46 2246 11
2020-04-28 |South Dakota| 46 2314 11
2020-04-29 |South Dakota| 46 2375 13
2020-04-30 |South Dakota| 46 2450 17
2020-05-01 |South Dakota| 46 2525 21
2020-05-02 |South Dakota| 46 2587 21
2020-05-03 |South Dakota| 46 2630 21
2020-05-04 |South Dakota| 46 2667 21
2020-05-05 |South Dakota| 46 2720 24
2020-05-06 |South Dakota| 46 2779 29
2020-05-07 |South Dakota| 46 2905 31
2020-05-08 |South Dakota| 46 3144 31
2020-05-09 |South Dakota| 46 3393 34
2020-05-10 |South Dakota| 46 3517 34
2020-05-11 |South Dakota| 46 3614 34
2020-05-12 |South Dakota| 46 3663 39
2020-05-13 |South Dakota| 46 3732 39
2020-05-14 |South Dakota| 46 3792 43
2020-05-15 |South Dakota| 46 3887 44
2020-05-16 |South Dakota| 46 3959 44
2020-05-17 |South Dakota| 46 3987 44
2020-05-18 |South Dakota| 46 4027 44
2020-05-19 |South Dakota| 46 4085 46
2020-05-20 |South Dakota| 46 4177 46
2020-05-21 |South Dakota| 46 4177 47
2020-05-22 |South Dakota| 46 4356 50
2020-05-23 |South Dakota| 46 4468 50
2020-05-24 |South Dakota| 46 4563 50
2020-05-25 |South Dakota| 46 4586 50
2020-05-26 |South Dakota| 46 4653 50
2020-05-27 |South Dakota| 46 4710 54
2020-05-28 |South Dakota| 46 4793 54
2020-05-29 |South Dakota| 46 4866 59
2020-05-30 |South Dakota| 46 4960 62
2020-05-31 |South Dakota| 46 4993 62
2020-06-01 |South Dakota| 46 5034 62
2020-06-02 |South Dakota| 46 5066 62
2020-06-03 |South Dakota| 46 5161 62
2020-06-04 |South Dakota| 46 5247 64
2020-06-05 |South Dakota| 46 5277 65
2020-06-06 |South Dakota| 46 5367 65
2020-06-07 |South Dakota| 46 5438 65
2020-06-08 |South Dakota| 46 5471 65
2020-06-09 |South Dakota| 46 5523 68
2020-06-10 |South Dakota| 46 5604 69
2020-06-11 |South Dakota| 46 5665 73
2020-06-12 |South Dakota| 46 5742 74
2020-06-13 |South Dakota| 46 5833 75
2020-06-14 |South Dakota| 46 5898 75
2020-06-15 |South Dakota| 46 5928 75
2020-06-16 |South Dakota| 46 5966 77
2020-06-17 |South Dakota| 46 6050 78
2020-06-18 |South Dakota| 46 6109 78
2020-06-19 |South Dakota| 46 6158 81
2020-06-20 |South Dakota| 46 6225 81
2020-06-21 |South Dakota| 46 6297 81
2020-06-22 |South Dakota| 46 6326 81
2020-06-23 |South Dakota| 46 6353 83
2020-06-24 |South Dakota| 46 6419 84
2020-06-25 |South Dakota| 46 6479 87
2020-06-26 |South Dakota| 46 6535 88
2020-06-27 |South Dakota| 46 6626 91
2020-06-28 |South Dakota| 46 6681 91
2020-06-29 |South Dakota| 46 6716 91
2020-06-30 |South Dakota| 46 6764 91
2020-07-01 |South Dakota| 46 6826 93
2020-07-02 |South Dakota| 46 6893 97
2020-07-03 |South Dakota| 46 6978 97
2020-07-04 |South Dakota| 46 7028 97
2020-07-05 |South Dakota| 46 7063 97
2020-07-06 |South Dakota| 46 7105 97
2020-07-07 |South Dakota| 46 7163 98
2020-07-08 |South Dakota| 46 7242 98
2020-07-09 |South Dakota| 46 7336 101
2020-07-10 |South Dakota| 46 7401 107
2020-07-11 |South Dakota| 46 7454 109
2020-07-12 |South Dakota| 46 7499 109
2020-07-13 |South Dakota| 46 7524 109
