2020-03-02 |New Hampshire| 33 1 0
2020-03-03 |New Hampshire| 33 2 0
2020-03-04 |New Hampshire| 33 2 0
2020-03-05 |New Hampshire| 33 2 0
2020-03-06 |New Hampshire| 33 2 0
2020-03-07 |New Hampshire| 33 4 0
2020-03-08 |New Hampshire| 33 4 0
2020-03-09 |New Hampshire| 33 4 0
2020-03-10 |New Hampshire| 33 5 0
2020-03-11 |New Hampshire| 33 5 0
2020-03-12 |New Hampshire| 33 6 0
2020-03-13 |New Hampshire| 33 7 0
2020-03-14 |New Hampshire| 33 7 0
2020-03-15 |New Hampshire| 33 13 0
2020-03-16 |New Hampshire| 33 17 0
2020-03-17 |New Hampshire| 33 26 0
2020-03-18 |New Hampshire| 33 39 0
2020-03-19 |New Hampshire| 33 44 0
2020-03-20 |New Hampshire| 33 55 0
2020-03-21 |New Hampshire| 33 65 0
2020-03-22 |New Hampshire| 33 78 0
2020-03-23 |New Hampshire| 33 101 1
2020-03-24 |New Hampshire| 33 108 1
2020-03-25 |New Hampshire| 33 137 1
2020-03-26 |New Hampshire| 33 158 1
2020-03-27 |New Hampshire| 33 187 2
2020-03-28 |New Hampshire| 33 214 2
2020-03-29 |New Hampshire| 33 258 3
2020-03-30 |New Hampshire| 33 314 3
2020-03-31 |New Hampshire| 33 367 3
2020-04-01 |New Hampshire| 33 415 4
2020-04-02 |New Hampshire| 33 479 5
2020-04-03 |New Hampshire| 33 540 7
2020-04-04 |New Hampshire| 33 621 9
2020-04-05 |New Hampshire| 33 669 9
2020-04-06 |New Hampshire| 33 715 9
2020-04-07 |New Hampshire| 33 747 13
2020-04-08 |New Hampshire| 33 788 18
2020-04-09 |New Hampshire| 33 819 21
2020-04-10 |New Hampshire| 33 885 22
2020-04-11 |New Hampshire| 33 929 23
2020-04-12 |New Hampshire| 33 985 23
2020-04-13 |New Hampshire| 33 1020 23
2020-04-14 |New Hampshire| 33 1091 27
2020-04-15 |New Hampshire| 33 1139 32
2020-04-16 |New Hampshire| 33 1211 34
2020-04-17 |New Hampshire| 33 1287 37
2020-04-18 |New Hampshire| 33 1342 38
2020-04-19 |New Hampshire| 33 1392 41
