2020-01-27,Arizona,04,1,0,0,0,3,0,0,4,0
2020-01-28,Arizona,04,0,0,0,0,7,0,0,4,0
2020-01-29,Arizona,04,0,0,0,0,1,0,0,3,0
2020-01-30,Arizona,04,0,0,0,0,2,0,0,6,0
2020-01-31,Arizona,04,0,0,0,0,2,0,0,1,0
2020-02-01,Arizona,04,0,0,2,0,7,0,0,5,0
2020-02-02,Arizona,04,0,0,1,0,3,0,0,3,0
2020-02-03,Arizona,04,0,0,2,0,5,0,0,4,0
2020-02-04,Arizona,04,0,0,0,0,4,0,0,1,0
2020-02-05,Arizona,04,0,0,0,0,4,0,0,0,0
2020-02-06,Arizona,04,0,0,0,0,1,0,0,0,0
2020-02-07,Arizona,04,0,0,1,0,1,0,0,2,0
2020-02-08,Arizona,04,0,0,0,0,4,0,0,2,0
2020-02-09,Arizona,04,0,0,0,0,5,0,0,1,0
2020-02-10,Arizona,04,0,0,2,0,3,0,0,0,0
2020-02-11,Arizona,04,0,0,0,0,9,0,0,0,0
2020-02-12,Arizona,04,0,0,0,0,13,0,0,0,0
2020-02-13,Arizona,04,0,0,0,0,7,0,0,0,0
2020-02-14,Arizona,04,0,0,3,0,0,0,0,1,0
2020-02-15,Arizona,04,0,0,0,0,2,0,1,0,0
2020-02-16,Arizona,04,0,0,0,0,2,0,0,1,0
2020-02-17,Arizona,04,0,0,0,0,1,0,0,1,0
2020-02-18,Arizona,04,0,0,0,0,0,0,0,0,0
2020-02-19,Arizona,04,0,0,1,0,0,0,0,1,0
2020-02-20,Arizona,04,0,0,0,0,4,0,0,1,0
2020-02-21,Arizona,04,0,0,0,0,0,0,0,1,0
2020-02-22,Arizona,04,0,0,0,0,0,0,0,2,0
2020-02-23,Arizona,04,0,0,0,0,2,0,0,0,0
2020-02-24,Arizona,04,0,0,2,0,7,0,0,1,0
2020-02-25,Arizona,04,0,0,0,0,1,0,0,0,0
2020-02-26,Arizona,04,0,0,0,0,7,0,0,2,0
2020-02-27,Arizona,04,0,0,1,0,2,0,0,0,0
2020-02-28,Arizona,04,0,0,1,0,4,0,0,8,0
2020-02-29,Arizona,04,0,0,2,0,5,0,0,3,0
2020-03-01,Arizona,04,0,0,1,0,0,0,0,6,0
2020-03-02,Arizona,04,0,0,2,0,2,0,0,3,0
2020-03-03,Arizona,04,1,0,1,0,5,0,0,17,0
2020-03-04,Arizona,04,0,0,2,0,3,0,0,4,0
2020-03-05,Arizona,04,0,0,3,0,1,0,0,4,2
2020-03-06,Arizona,04,1,0,2,0,1,0,0,9,0
2020-03-07,Arizona,04,2,0,2,0,2,0,1,6,0
2020-03-08,Arizona,04,0,0,1,0,3,0,0,2,0
2020-03-09,Arizona,04,1,0,1,0,2,0,0,1,1
2020-03-10,Arizona,04,0,0,2,0,2,0,0,23,0
2020-03-11,Arizona,04,3,0,2,0,2,0,0,6,0
2020-03-12,Arizona,04,0,0,4,0,2,0,0,3,0
2020-03-13,Arizona,04,0,0,3,0,3,0,0,11,0
2020-03-14,Arizona,04,3,0,6,0,0,0,0,8,0
2020-03-15,Arizona,04,1,0,5,0,4,0,0,7,0
2020-03-16,Arizona,04,5,0,3,0,5,0,6,13,0
2020-03-17,Arizona,04,2,0,4,0,19,0,4,29,0
